form_name,schema,element,qualifier,triplet
ufcattccautoria,dc,contributor,referee1Lattes,dc.contributor.referee1Lattes
ufcattccautoria,dc,contributor,referee2,dc.contributor.referee2
ufcattccautoria,dc,contributor,referee2Lattes,dc.contributor.referee2Lattes
ufcattccautoria,dc,contributor,referee3,dc.contributor.referee3
ufcattccautoria,dc,contributor,referee3Lattes,dc.contributor.referee3Lattes
ufcattccautoria,dc,creator,,dc.creator._
ufcattccdescricao,dc,description,abstract,dc.description.abstract
ufcattccdescricao,dc,description,resumo,dc.description.resumo
ufcattccdescricao,dc,subject,,dc.subject._
ufcattccdescricao,dc,subject,cnpq,dc.subject.cnpq
ufcattccdireitos,dc,identifier,citation,dc.identifier.citation
ufcattccdireitos,dc,rights,access,dc.rights.access
ufcattccdireitos,dc,rights,uri,dc.rights.uri
ufcatthesis,dc,contributor,advisor-co1,dc.contributor.advisor-co1
ufcatthesis,dc,contributor,advisor-co1Lattes,dc.contributor.advisor-co1Lattes
ufcatthesis,dc,contributor,advisor1,dc.contributor.advisor1
ufcatthesis,dc,contributor,advisor1Lattes,dc.contributor.advisor1Lattes
ufcatthesis,dc,contributor,referee1,dc.contributor.referee1
ufcatthesis,dc,contributor,referee2,dc.contributor.referee2
ufcatthesis,dc,contributor,referee3,dc.contributor.referee3
ufcatthesis,dc,contributor,referee4,dc.contributor.referee4
ufcatthesis,dc,contributor,referee5,dc.contributor.referee5
ufcatthesis,dc,creator,Lattes,dc.creator.Lattes
ufcatthesis,dc,creator,,dc.creator._
ufcatthesis,dc,date,available,dc.date.available
ufcatthesis,dc,date,issued,dc.date.issued
ufcatthesis,dc,description,abstract,dc.description.abstract
ufcatthesis,dc,description,resumo,dc.description.resumo
ufcatthesis,dc,description,sponsorship,dc.description.sponsorship
ufcatthesis,dc,language,,dc.language._
ufcatthesis,dc,publisher,,dc.publisher._
ufcatthesis,dc,publisher,country,dc.publisher.country
ufcatthesis,dc,publisher,department,dc.publisher.department
ufcatthesis,dc,publisher,initials,dc.publisher.initials
ufcatthesis,dc,publisher,program,dc.publisher.program
ufcatthesis,dc,rights,,dc.rights._
ufcatthesis,dc,subject,,dc.subject._
ufcatthesis,dc,subject,cnpq,dc.subject.cnpq
ufcatthesis,dc,title,,dc.title._
ufcatthesis,dc,title,alternative,dc.title.alternative
ufcatthesis,dc,type,,dc.type._
ufcatthesis_cet,dc,creator,Lattes,dc.creator.Lattes
ufcatthesis_cet,dc,creator,,dc.creator._
ufcatthesis_cet,dc,date,available,dc.date.available
ufcatthesis_cet,dc,date,issued,dc.date.issued
ufcatthesis_cet,dc,language,iso,dc.language.iso
ufcatthesis_cet,dc,publisher,programcode,dc.publisher.programcode
ufcatthesis_cet,dc,title,,dc.title._
ufcatthesis_cet,dc,type,,dc.type._
ufcatthesis_linguagem,dc,creator,Lattes,dc.creator.Lattes
ufcatthesis_linguagem,dc,creator,,dc.creator._
ufcatthesis_linguagem,dc,date,available,dc.date.available
ufcatthesis_linguagem,dc,date,issued,dc.date.issued
ufcatthesis_linguagem,dc,language,iso,dc.language.iso
ufcatthesis_linguagem,dc,publisher,programcode,dc.publisher.programcode
ufcatthesis_linguagem,dc,title,,dc.title._
ufcatthesis_linguagem,dc,type,,dc.type._
ufcatthesis_ppgcem,dc,creator,Lattes,dc.creator.Lattes
ufcatthesis_ppgcem,dc,creator,,dc.creator._
ufcatthesis_ppgcem,dc,date,available,dc.date.available
ufcatthesis_ppgcem,dc,date,issued,dc.date.issued
ufcatthesis_ppgcem,dc,language,iso,dc.language.iso
ufcatthesis_ppgcem,dc,publisher,programcode,dc.publisher.programcode
ufcatthesis_ppgcem,dc,title,,dc.title._
ufcatthesis_ppgcem,dc,type,,dc.type._
ufcatthesis_quimica,dc,creator,Lattes,dc.creator.Lattes
ufcatthesis_quimica,dc,creator,,dc.creator._
ufcatthesis_quimica,dc,date,available,dc.date.available
ufcatthesis_quimica,dc,date,issued,dc.date.issued
ufcatthesis_quimica,dc,language,iso,dc.language.iso
ufcatthesis_quimica,dc,publisher,programcode,dc.publisher.programcode
ufcatthesis_quimica,dc,title,,dc.title._
ufcatthesis_quimica,dc,type,,dc.type._
